MLS_Number,Street_Number,Street_Name,Unit,City,Price,PSF,Area,Subdivision,Market_Area,Building_SF,Bedrooms,Baths,Stories,DOM
10869722,619,Live Oak,,Houston,2495,0.93,4,Capitol Oaks Sec 03 Rep 01,EADO,2671,3,3.1,3,27
82110616,221,Eastwood,A,Houston,895,0.94,4,OAKLAWN,EADO,952,2,1,,90
6081322,4721,Walker,A,Houston,1275,0.95,4,Eastwood,EADO,1345,2,1,2,8
95499738,2222,Ann,,Houston,1575,0.95,4,Americas Twnhms Sec 01,EADO,1656,2,2,2,99
81407784,120,Drennan,1,Houston,1600,0.95,4,Brady J T,EADO,1689,3,2,2,6
73901902,5903,Sherman,,Houston,2050,0.96,4,Fullerton Place,EADO,2140,3,2,2,52
52263092,4952,Leeland,,Houston,1650,0.96,4,Eastlawn,EADO,1711,3,2,1,11
42608236,3920,Dallas,3,Houston,995,0.97,4,Woodleigh,EADO,1031,2,1,2,58
67736207,3920,Dallas,2,Houston,995,0.97,4,Woodleigh,EADO,1031,2,1,2,41
55132882,2708,Capitol,,Houston,3600,0.97,4,Capitol Oaks,EADO,3700,4,3.1,4,19
21659925,1307,Paige,,Houston,2000,0.97,4,Paige Street Twnhms,EADO,2068,2,2.1,3,93
83728190,3216,McKinney,,Houston,3349,0.98,4,Mckinney Lndg Sub,EADO,3410,4,4.1,4,60
51403837,2508,Saltus,1,Houston,1000,0.98,4,Lubbock Grove,EADO,1025,1,1,1,97
71842668,1209,Ennis,,Houston,2100,0.99,4,Palmer Square,EADO,2120,3,2.1,3,12
36238337,6625,AVENUE S,,Houston,1800,1,4,CENTRAL PARK,EADO,1800,4,2.1,2,29
73077939,1922,Des Jardines,B,Houston,800,1,4,Telephone Road Place,EADO,800,2,1,1,64
8327778,3210,Mckinney,,Houston,3250,1.01,4,Mckinney Lndg Sub,EADO,3233,4,4.1,4,10
9234897,1310,Gustav,,Houston,1365,1.01,4,Eastlawn,EADO,1350,2,1.1,1,115
50793898,6523,Avenue C,,Houston,1545,1.03,4,Central Park,EADO,1502,3,2,1,77
7812417,4108,Mckinney,,Houston,1550,1.03,4,Azoma Village,EADO,1505,4,4.1,,17
46890751,402,Hutcheson,1,Houston,950,1.03,4,Palmer Place,EADO,920,2,1,1,56
93300700,3018,Palmer,,Houston,1899,1.05,4,Palmer Square,EADO,1809,2,2.1,3,20
55971048,6311,Jefferson,,Houston,2100,1.06,4,Simms Woods,EADO,1984,3,2,1,28
11527361,5017,Pease,,Houston,1195,1.06,4,Eastlawn,EADO,1125,2,1,1,77
50834516,4206,Walker,,Houston,1600,1.06,4,Houston City St Rwy Sec 01,EADO,1514,3,2,1,18
28804182,3019,Polk,,Houston,1899,1.06,4,Palmer Square,EADO,1785,2,2,3,14
96683259,2208,Ann,,Houston,1750,1.06,4,Americas Twnhms Sec 01,EADO,1656,2,2,2,31
31220689,5306,Claremont,,Houston,1800,1.07,4,Lawndale,EADO,1676,4,3,1,34
21359614,4426,Bell,2,Houston,750,1.07,4,EASTWOOD SUPPLEMENT,EADO,700,1,1,1,20
84912286,4211,Lamar,,Houston,1700,1.07,4,Woodleigh,EADO,1594,3,2,1,5
54790192,2002,Hatwell,A,Houston,795,1.07,4,Edmundson 1 Thru 7,EADO,740,2,1,1,78
92018600,1541,Lawson,,Houston,1395,1.07,4,BROADMOOR,EADO,1302,3,2,1,22
61981563,7,Adams,,Houston,1100,1.07,4,Oak Lawn Add,EADO,1032,2,1,1,38
90974199,1207,Ennis,,Houston,2300,1.08,4,Palmer Square,EADO,2120,3,2.1,3,46
86807512,804,Paige,,Houston,2400,1.08,4,Rusk Manor Sec 03,EADO,2228,3,3.1,4,12
25628335,215,Riley,,Houston,2200,1.08,4,Waterhill Hms/Commerce Stree,EADO,2039,3,3.1,3,41
15332567,5003,Pease,,Houston,2600,1.09,4,Eastlawn Vista,EADO,2379,4,3.1,2,21
3337267,3921,Polk,,Houston,1890,1.09,4,Woodleigh,EADO,1734,3,2,2,44
40248503,2758,Clay,,Houston,2500,1.09,4,Delano Xing,EADO,2292,3,2.1,,13
9034170,2505,Dallas,,Houston,2400,1.09,4,Dallas Ave Twnhms,EADO,2196,3,3.1,3,51
35691194,2002,Hatwell,,Houston,995,1.09,4,Edmundson 1 Thru 7,EADO,916,2,1,1,19
76250760,6708,Avenue I,E,Houston,550,1.1,4,Central Park,EADO,500,1,1,2,8
17664428,3221,Garrow,,Houston,2400,1.1,4,Retreat/Velasco,EADO,2186,3,3.1,3,11
97890977,2715,Capitol,,Houston,3200,1.1,4,Capitol Commons,EADO,2922,4,4,4,22
47467282,1741,Idylwood,,Houston,1400,1.1,4,Idylwood,EADO,1274,2,1,1,5
67243834,1310,Emancipation,,Houston,2850,1.1,4,Dowling & Polk T/H,EADO,2587,3,2.1,3,33
6631437,705,Delano,,Houston,3100,1.1,4,Capital Oaks,EADO,2811,3,4.1,4,65
39713440,4601,Walker,,Houston,1550,1.11,4,Eastwood,EADO,1391,2,1,1,132
92798812,4112,Mckinney,,Houston,1600,1.11,4,Azoma Village,EADO,1437,3,3.1,3,88
71616520,708,Paige,,Houston,2600,1.11,4,Capitol Oaks,EADO,2332,3,3.1,3,88
52700012,252,Lenox,,Houston,2000,1.11,4,Waterhill Homes/Navigation St,EADO,1806,3,2.1,3,16
82655468,1620,Live Oak,,Houston,2250,1.12,4,Signe Oaks,EADO,2016,3,3,3,56
21890071,11,Delmar,,Houston,900,1.12,4,Fullerton Place,EADO,804,1,1,1,25
11241634,6631,Avenue J,2,Houston,850,1.13,4,Central Park,EADO,750,2,1,1,14
54020959,5236,Hillman,,Houston,1950,1.13,4,Beverly Park,EADO,1725,3,2,1,9
54330087,2855,Rusk,,Houston,2600,1.13,4,Capitol Oaks,EADO,2301,3,3.1,3,50
83559054,2704,Dallas,,Houston,2100,1.13,4,Waterhill Homes/Dallas Sec 01,EADO,1862,3,3.1,3,74
59628400,1124,Live Oak St,,Houston,3300,1.13,4,EaDo (East Downtown),EADO,2931,4,3.1,2.5,7
98436968,1338,Emancipation,,Houston,2950,1.14,4,Dowling & Polk T/H,EADO,2587,3,2.1,3,16
3091199,1226,Delano,,Houston,2390,1.14,4,Waterhill Homes/Dallas Sec 01,EADO,2100,3,3.1,3,8
63450446,6731,Avenue Q,A,Houston,575,1.15,4,Central Park,EADO,500,1,1,1,14
67908031,5327,Bell,6,Houston,745,1.15,4,Dissen Heights,EADO,650,2,1,1,17
55084887,4304,Pease,2-Jan,Houston,900,1.15,4,Eastwood,EADO,785,1,1,2,27
65040983,2557,Rusk,,Houston,2395,1.15,4,Waterhill Homes/Rusk Sec 01,EADO,2084,3,3.1,3,85
12748269,1745,Aden,,Houston,1875,1.16,4,Midtown Village,EADO,1610,2,2.1,2,16
62301722,5527,Truett,,Houston,1650,1.17,4,Plaza Place,EADO,1406,3,1,1,45
39522355,6719,Sylvan,,Houston,2400,1.18,4,Idylwood,EADO,2034,3,2.1,2,37
97505296,1767,ADEN,,Houston,2000,1.18,4,Midtown Village,EADO,1688,2,2,2,37
47774336,1729,Aden,,Houston,2000,1.18,4,Midtown Village,EADO,1688,2,2,2,25
74009150,615,Nagle,,Houston,3200,1.18,4,Capitol Commons,EADO,2721,4,4.1,4,24
12219097,316,Eastwood,3,Houston,927,1.18,4,ANDERSON & SWOPE,EADO,787,1,1,,21
34962961,5526,Truett,,Houston,1800,1.19,4,Plaza Place,EADO,1510,3,2,1,59
7483725,3013,Polk,B,Houston,2300,1.19,4,Polk Green Rep 1,EADO,1936,3,3.1,3,8
86689906,1430,Munger,,Houston,1495,1.19,4,Broadmoor,EADO,1254,2,2,1,25
92075708,725,Live Oak,,Houston,2650,1.19,4,Capitol Oaks Sec 1,EADO,2220,3,3.1,3,28
3813200,6827,Avenue C,C,Houston,1195,1.2,4,Central Park,EADO,1000,1,1,1,0
83788819,6819,Avenue C,A,Houston,1195,1.2,4,Central Park Add,EADO,1000,1,1,1,194
81132725,4304,Pease,,Houston,900,1.2,4,Eastwood,EADO,752,1,1,2,3
49565837,2384,Commerce,,Houston,2750,1.2,4,Waterhill Hms/Commerce Street,EADO,2288,3,3.1,3,53
90899002,402,Hutcheson St,4,Houston,750,1.2,4,Palmer Place,EADO,625,1,1,1,8
80042970,2608,Capitol,,Houston,2700,1.21,4,Capitol Oaks,EADO,2233,3,3.1,3,34
42825967,1930,Jean,A,Houston,1350,1.21,4,Telephone Road Place Sec 01,EADO,1120,2,2,1,139
48619787,416,Live Oak,,Houston,2700,1.21,4,Live Oak Grove,EADO,2240,3,3.1,3,70
68676529,211,70th,,Houston,1200,1.21,4,Magnolia Park 1,EADO,988,2,1,1,33
87014091,4915,Park,,Houston,1650,1.22,4,East End Revitalized Area,EADO,1354,2,1,1,28
94691766,4709,Park,,Houston,1100,1.22,4,Eastwood,EADO,900,2,1,2,9
44927359,2838,Leeland,,Houston,2200,1.22,4,Leeland Gardens,EADO,1804,3,3.3,3,62
74181135,1714,Aden Mist Drive,,Houston,1875,1.22,4,Midtown Village,EADO,1540,2,2.1,2,5
86519128,712,Live Oak,,Houston,2300,1.22,4,Waterhill Homes/Rusk Sec 01,EADO,1886,3,3.1,3,16
87260543,218,Grace,A,Houston,795,1.22,4,Brady Place,EADO,650,1,1,1,76
83270893,110,Drennan,,Houston,1850,1.22,4,Brady J T,EADO,1514,3,3,1,19
25745140,928,Mckinney Park,,Houston,2000,1.23,4,Mckinney Park Homes,EADO,1632,3,2.1,2,8
50006007,907,Mckinney Park,,Houston,2000,1.23,4,Mckinney Park Homes,EADO,1632,3,2.1,2,82
40083407,906,Mckinney Park,,Houston,2000,1.23,4,Mckinney Park Homes,EADO,1632,3,2.1,2,16
87244794,6660,Merry,,Houston,2295,1.24,4,Idylwood,EADO,1850,3,2.1,1,48
9868628,5710,Dorbrandt,,Houston,1775,1.24,4,Edmundson Sec 06,EADO,1432,3,2,1,5
68394668,2742,Clay,,Houston,2700,1.24,4,Delano Xing,EADO,2176,3,3.1,3,14
80566574,1436,Ennis,,Houston,2199,1.24,4,WATERHILL HOMES ON BELL,EADO,1777,3,2.1,2,101
74373952,4811,Oakland,16,Houston,900,1.25,4,Muller Add,EADO,720,2,1,2,47
11248756,2352,Sperber,,Houston,2600,1.25,4,Waterhill Hms/Commerce Street,EADO,2074,3,3.1,4,37
87226887,1403,Delano,5,Houston,1995,1.25,4,Delano Place Condos,EADO,1598,3,2.1,3,39
53030951,1312,Live Oak,205,Houston,1800,1.25,4,Live Oak Lofts,EADO,1440,1,2,1,6
64341611,107,Altic,4,Houston,750,1.25,4,Fullerton Place,EADO,600,1,1,1,79
87340899,5,Adams,,Houston,1150,1.26,4,Oak Lawn Add,EADO,912,2,1,1,24
71694135,5212,Leeland,,Houston,1350,1.27,4,Dissen Heights,EADO,1066,2,1,1,44
54061602,5129,Claremont,1,Houston,795,1.27,4,Lawndale,EADO,625,1,1,1,44
53530083,1619,Dumble,1,Houston,1395,1.27,4,Refuge Village,EADO,1100,2,1,1,68
17864025,1403,Delano,3,Houston,2150,1.27,4,Delano Place Condos,EADO,1696,2,2.1,3,9
31294636,1403,Lawson,,Houston,1495,1.27,4,Broadmoor,EADO,1173,3,1.1,1,21
97373631,6715,Avenue,A,Houston,1300,1.28,4,Central Park,EADO,1014,3,1,1,54
14242806,4917,Brady,4,Houston,705,1.28,4,Oak Lawn,EADO,550,1,1,2,82
29874154,4917,Brady,4,Houston,705,1.28,4,Oak Lawn,EADO,550,1,1,2,3
48304017,4823,Rusk,4,Houston,1150,1.28,4,Eastwood,EADO,900,1,1,2,102
23252817,2002,Hatwell,,Houston,1175,1.28,4,Edmundson 1 Thru 7,EADO,916,2,1,1,27
44872369,635,Middle,,Houston,2600,1.28,4,East End/Bayou Sec 1,EADO,2036,3,3.1,4,84
87640194,3135,Leeland,,Houston,2536,1.29,4,Leeland Bell Lndg,EADO,1966,3,3.1,3,36
79484366,2719,Kennedy,,Houston,3100,1.29,4,EAST END ON THE BAYOU SEC 1,EADO,2411,3,3.1,4,39
